,Company,WebSite,Price,Rating,Cluster_Id
98,2,0,16.99,4.5,2
99,112,0,29.99,4.5,2
100,191,0,11.49,4.5,2
101,185,0,15.99,4.5,2
102,130,0,14.99,4.5,2
103,136,0,13.49,4.5,2
104,19,0,11.49,4.5,2
105,134,0,11.99,4.5,2
106,19,0,14.99,4.5,2
107,191,0,13.99,4.5,2
108,136,0,13.49,4.5,2
109,134,0,11.99,4.0,2
110,113,0,21.99,4.0,2
111,173,0,15.99,4.5,2
112,149,0,29.99,4.0,2
113,135,0,17.99,4.5,2
114,191,0,29.99,4.5,2
115,3,0,12.99,4.5,2
116,191,0,11.99,4.0,2
117,191,0,19.99,4.5,2
118,130,0,15.99,4.0,2
119,191,0,7.99,4.5,2
120,191,0,5.49,4.5,2
121,116,0,12.99,4.5,2
122,191,0,11.99,5.0,2
123,191,0,13.99,5.0,2
124,112,0,38.99,5.0,2
125,191,0,19.99,5.0,2
126,19,0,11.99,4.5,2
127,19,0,14.99,4.5,2
128,134,0,38.99,4.5,2
129,19,0,19.99,4.5,2
130,19,0,14.99,4.5,2
131,100,0,11.99,4.5,2
132,61,0,24.99,4.5,2
133,191,0,11.99,4.5,2
134,110,0,13.99,4.6,2
135,191,0,14.99,4.5,2
136,191,0,11.49,4.5,2
137,191,0,13.99,4.5,2
138,112,0,19.99,4.0,2
139,112,0,22.99,4.0,2
140,64,0,15.99,4.0,2
141,19,0,14.99,4.0,2
142,19,0,21.99,4.5,2
143,139,0,29.99,4.0,2
144,191,0,11.99,4.0,2
145,7,0,39.99,4.5,2
146,134,0,11.99,4.0,2
147,19,0,19.99,4.6,2
148,116,0,12.99,4.5,2
149,191,0,11.99,5.0,2
150,191,0,19.99,5.0,2
151,19,0,22.99,4.5,2
152,19,0,14.99,4.5,2
153,191,0,18.99,4.5,2
154,192,0,13.99,4.5,2
155,19,0,19.99,4.0,2
156,192,0,8.99,4.0,2
157,134,0,13.49,4.0,2
158,192,0,13.99,3.5,2
159,3,0,29.99,4.5,2
160,191,0,24.99,5.0,2
161,28,0,14.99,4.5,2
162,19,0,19.99,4.5,2
163,116,0,19.99,4.5,2
164,130,0,15.99,3.5,2
165,59,0,34.99,3.0,2
166,116,0,29.99,4.5,2
167,134,0,11.99,5.0,2
168,58,0,12.99,5.0,2
169,64,0,15.99,5.0,2
170,191,0,11.99,5.0,2
171,185,0,15.99,4.5,2
172,130,0,21.99,4.5,2
173,120,0,17.99,4.5,2
174,130,0,15.99,4.5,2
175,191,0,12.99,4.5,2
176,130,0,21.99,4.0,2
177,110,0,31.99,4.0,2
178,134,0,41.99,4.5,2
179,191,0,10.99,4.5,2
180,134,0,19.99,4.5,2
181,191,0,15.99,4.5,2
182,110,0,21.99,3.5,2
183,124,0,39.99,5.0,2
184,124,0,29.99,4.5,2
185,201,0,8.79,4.5,2
186,47,0,13.49,3.5,2
187,201,0,13.49,4.5,2
188,201,0,24.99,4.5,2
189,53,0,49.99,3.5,2
190,110,0,10.99,4.5,2
191,110,0,12.89,4.5,2
192,83,0,18.99,4.5,2
193,51,0,7.99,3.5,2
194,112,0,29.99,4.5,2
195,63,0,11.99,4.5,2
196,63,0,13.49,4.5,2
197,110,0,26.49,4.5,2
198,51,0,7.99,3.0,2
199,136,0,8.99,4.5,2
200,112,0,15.99,4.5,2
201,112,0,15.99,4.5,2
202,112,0,15.99,4.0,2
203,112,0,15.99,4.0,2
204,134,0,11.49,4.5,2
205,51,0,7.99,3.5,2
206,110,0,12.99,4.5,2
207,110,0,23.99,4.5,2
208,121,0,26.99,4.5,2
209,148,0,18.99,4.5,2
210,116,0,12.99,4.5,2
211,112,0,15.49,4.5,2
212,121,0,19.99,4.5,2
213,121,0,19.99,4.5,2
214,21,0,16.49,4.5,2
215,112,0,15.99,4.5,2
216,110,0,21.99,4.5,2
217,19,0,12.99,4.5,2
218,191,0,13.99,4.5,2
219,112,0,19.99,4.5,2
220,110,0,13.99,4.5,2
221,185,0,15.99,4.5,2
222,154,0,22.99,4.5,2
223,134,0,26.99,4.5,2
224,185,0,15.99,4.5,2
225,154,0,15.99,4.5,2
226,51,0,7.99,4.5,2
227,121,0,59.99,4.5,3
228,77,0,14.99,4.5,2
229,148,0,14.99,4.5,2
230,61,0,18.99,5.0,2
231,116,0,9.99,4.0,2
232,121,0,54.99,4.5,3
233,197,0,11.99,3.5,2
234,134,0,37.99,4.5,2
235,31,0,23.99,4.5,2
236,134,0,13.49,4.5,2
237,19,0,14.99,4.5,2
238,19,0,12.99,4.5,2
239,187,0,29.99,4.0,2
240,191,0,17.49,3.5,2
241,191,0,15.99,1.5,2
242,148,0,32.99,4.5,2
243,113,0,9.49,4.0,2
244,121,0,68.99,4.0,3
245,112,0,9.99,4.5,2
246,185,0,7.99,4.5,2
247,121,0,41.99,4.5,2
248,3,0,17.99,4.0,2
249,3,0,16.99,4.0,2
250,3,0,16.99,5.0,2
251,121,0,46.49,4.5,2
252,116,0,16.99,5.0,2
253,201,0,17.99,4.0,2
254,121,0,53.99,4.5,3
255,121,0,46.49,4.5,2
256,121,0,21.99,4.5,2
257,116,0,21.33,4.0,2
258,154,0,18.99,5.0,2
259,116,0,16.49,3.5,2
260,121,0,51.99,4.5,3
261,148,0,29.99,4.0,2
262,51,0,16.99,4.5,2
263,116,0,11.99,4.5,2
264,121,0,53.99,4.5,3
265,3,0,14.99,4.5,2
266,77,0,24.99,4.5,2
267,74,0,9.99,4.5,2
268,3,0,11.99,4.5,2
